0,(-22.887278, 29.812138999999995)
10,(-22.887280303392753, 29.81211855056762)
20,(-22.88728260678289, 29.812098101134563)
30,(-22.887284910170422, 29.812077651700804)
40,(-22.887287213555318, 29.812057202266345)
50,(-22.887289516937617, 29.8120367528312)
60,(-22.88729182031729, 29.81201630339536)
70,(-22.887294123694357, 29.811995853958823)
80,(-22.887296427068804, 29.811975404521597)
90,(-22.887298730440634, 29.811954955083657)
100,(-22.88730103380986, 29.811934505645045)
110,(-22.88730333717646, 29.811914056205726)
120,(-22.887305640540447, 29.81189360676572)
130,(-22.887307943901813, 29.81187315732502)
140,(-22.887310247260572, 29.81185270788363)
150,(-22.887312550616716, 29.811832258441537)
160,(-22.887314853970246, 29.81181180899875)
170,(-22.887317157321156, 29.81179135955528)
180,(-22.887314428373596, 29.811756812648827)
190,(-22.887291570210575, 29.811665875911327)
200,(-22.88726871199584, 29.81157493920447)
210,(-22.887245853729386, 29.81148400252825)
220,(-22.88722299541123, 29.811393065882648)
230,(-22.887200137041347, 29.81130212926767)
240,(-22.88717727861976, 29.811211192683334)
250,(-22.887154420146455, 29.81112025612964)
260,(-22.88713156162144, 29.81102931960656)
270,(-22.88710870304471, 29.81093838311412)
280,(-22.887085844416276, 29.810847446652303)
290,(-22.88706298573612, 29.81075651022113)
300,(-22.887040127004255, 29.81066557382058)
310,(-22.88701726822067, 29.810574637450664)
320,(-22.88699440938538, 29.810483701111384)
330,(-22.88697155049838, 29.810392764802724)
340,(-22.886948691559656, 29.810301828524697)
350,(-22.886925832569226, 29.8102108922773)
360,(-22.88690297352709, 29.81011995606055)
370,(-22.88688011443324, 29.810029019874413)
380,(-22.886857255287673, 29.80993808371891)
390,(-22.886834396090393, 29.809847147594045)
400,(-22.886811536841407, 29.809756211499817)
410,(-22.886788677540707, 29.809665275436203)
420,(-22.886765818188287, 29.809574339403234)
430,(-22.88674295878416, 29.809483403400883)
440,(-22.88672009932833, 29.80939246742919)
450,(-22.886697239820784, 29.80930153148811)
460,(-22.886674380261525, 29.809210595577657)
470,(-22.886651520650556, 29.80911965969784)
480,(-22.886628660987867, 29.809028723848662)
490,(-22.886605801273475, 29.80893778803011)
500,(-22.886582941507367, 29.80884685224219)
510,(-22.886560081689556, 29.80875591648491)
520,(-22.886537221820028, 29.808664980758248)
530,(-22.886514361898787, 29.808574045062226)
540,(-22.886491501925835, 29.80848310939682)
550,(-22.88646864190118, 29.808392173762073)
560,(-22.88644578182481, 29.808301238157945)
570,(-22.88642292169673, 29.80821030258445)
580,(-22.88640006151693, 29.80811936704157)
590,(-22.886377201285434, 29.80802843152935)
600,(-22.886354341002225, 29.80793749604775)
610,(-22.886331480667295, 29.807846560596772)
620,(-22.886308620280662, 29.80775562517643)
630,(-22.88628575984232, 29.80766468978673)
640,(-22.886262899352264, 29.807573754427658)
650,(-22.8862400388105, 29.807482819099217)
660,(-22.88621717821703, 29.807391883801408)
670,(-22.886194317571846, 29.80730094853424)
680,(-22.88617145687495, 29.80721001329769)
690,(-22.88614859612635, 29.807119078091777)
700,(-22.886125735326033, 29.8070281429165)
710,(-22.886102874474016, 29.80693720777185)
720,(-22.88608001357028, 29.806846272657832)
730,(-22.886057152614836, 29.806755337574447)
740,(-22.886034291607697, 29.8066644025217)
750,(-22.88601143054883, 29.806573467499582)
760,(-22.88598489599754, 29.806482957684835)
770,(-22.885954687954587, 29.80639287308458)
780,(-22.885924479860883, 29.806302788524434)
790,(-22.885894271716424, 29.806212704004366)
800,(-22.88586406352123, 29.806122619524412)
810,(-22.885833855275283, 29.806032535084547)
820,(-22.885803646978594, 29.80594245068479)
830,(-22.88577343863116, 29.805852366325126)
840,(-22.885743230232976, 29.805762282005556)
850,(-22.88571302178405, 29.805672197726096)
860,(-22.88568281328437, 29.805582113486714)
870,(-22.88565260473395, 29.805492029287446)
880,(-22.885622396132785, 29.805401945128278)
890,(-22.885592187480874, 29.80531186100919)
900,(-22.885561978778224, 29.805221776930228)
910,(-22.885531770024816, 29.80513169289133)
920,(-22.88550156122067, 29.80504160889256)
930,(-22.885471352365776, 29.804951524933877)
940,(-22.88544114346014, 29.804861441015287)
950,(-22.885410934503756, 29.804771357136808)
960,(-22.885380725496642, 29.804681273298424)
970,(-22.885350516438763, 29.804591189500123)
980,(-22.885320307330147, 29.80450110574193)
990,(-22.885290098170785, 29.80441102202383)
1000,(-22.885259888960682, 29.804320938345835)
1010,(-22.885229679699833, 29.804230854707935)
1020,(-22.88519947038824, 29.804140771110127)
1030,(-22.885169261025904, 29.804050687552433)
1040,(-22.885139051612825, 29.803960604034827)
1050,(-22.885108842149002, 29.80387052055732)
1060,(-22.885078632634432, 29.803780437119908)
1070,(-22.88504842306912, 29.80369035372259)
1080,(-22.885018213453066, 29.803600270365386)
1090,(-22.884988003786262, 29.803510187048257)
1100,(-22.884957794068722, 29.80342010377124)
1110,(-22.884927584300435, 29.803330020534325)
1120,(-22.884897374481405, 29.803239937337498)
1130,(-22.88486716461163, 29.803149854180777)
1140,(-22.88483695469112, 29.803059771064156)
1150,(-22.884806744719857, 29.802969687987616)
1160,(-22.884776534697863, 29.80287960495119)
1170,(-22.88474632462511, 29.802789521954843)
1180,(-22.884716114501632, 29.80269943899862)
1190,(-22.8846859043274, 29.80260935608249)
1200,(-22.884655694102428, 29.80251927320644)
1210,(-22.88462548382672, 29.8024291903705)
1220,(-22.88459527350026, 29.80233910757465)
1230,(-22.884565063123066, 29.80224902481891)
1240,(-22.884535815612203, 29.80215810763686)
1250,(-22.884506980728226, 29.802066832865332)
1260,(-22.88447814579215, 29.80197555813258)
1270,(-22.88444931080398, 29.801884283438614)
1280,(-22.88442047576373, 29.801793008783427)
1290,(-22.88439164067137, 29.80170173416701)
1300,(-22.884362805526926, 29.80161045958939)
1310,(-22.88433397033039, 29.801519185050534)
1320,(-22.884305135081753, 29.80142791055046)
1330,(-22.88427629978103, 29.801336636089157)
1340,(-22.884247464428206, 29.801245361666638)
1350,(-22.88421862902329, 29.801154087282892)
1360,(-22.884189793566286, 29.801062812937936)
1370,(-22.884160958057198, 29.800971538631757)
1380,(-22.884132122496002, 29.800880264364352)
1390,(-22.88410328688272, 29.800788990135725)
1400,(-22.88407445121734, 29.800697715945873)
1410,(-22.884045615499875, 29.800606441794802)
1420,(-22.884016779730313, 29.800515167682505)
1430,(-22.883987943908664, 29.800423893609008)
1440,(-22.883959108034922, 29.800332619574267)
1450,(-22.88393027210909, 29.80024134557831)
1460,(-22.883901436131158, 29.80015007162113)
1470,(-22.883872600101142, 29.80005879770273)
1480,(-22.88384376401903, 29.799967523823106)
1490,(-22.883814927884828, 29.79987624998227)
1500,(-22.883786091698536, 29.79978497618021)
1510,(-22.883757255460154, 29.799693702416914)
1520,(-22.883728419169678, 29.799602428692413)
1530,(-22.88369958282711, 29.799511155006677)
1540,(-22.883670746432454, 29.799419881359725)
1550,(-22.883641909985702, 29.79932860775155)
1560,(-22.883613073486863, 29.799237334182166)
1570,(-22.88358423693593, 29.799146060651548)
1580,(-22.883555400332906, 29.79905478715972)
1590,(-22.883526563677794, 29.798963513706646)
1600,(-22.883497726970592, 29.798872240292365)
1610,(-22.883468890211304, 29.798780966916855)
1620,(-22.883440053399926, 29.798689693580155)
1630,(-22.88341121653645, 29.7985984202822)
1640,(-22.883382379620883, 29.798507147023034)
1650,(-22.883353542653232, 29.798415873802643)
1660,(-22.883324705633488, 29.798324600621026)
1670,(-22.883295868561657, 29.7982333274782)
1680,(-22.883267031437736, 29.798142054374157)
1690,(-22.883238194261722, 29.798050781308877)
1700,(-22.88320935703362, 29.797959508282375)
1710,(-22.883180519753434, 29.797868235294658)
1720,(-22.883151682421154, 29.79777696234572)
1730,(-22.88312284503678, 29.797685689435546)
1740,(-22.883094007600324, 29.797594416564163)
1750,(-22.883065170111777, 29.79750314373157)
1760,(-22.883036332571137, 29.79741187093774)
1770,(-22.883007494978415, 29.797320598182694)
1780,(-22.882978657333595, 29.797229325466414)
1790,(-22.882949819636693, 29.797138052788924)
